ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID122964121,121 Murray Rd,4,h,830000.0,3/06/2017,1.0,2.0,540.0,54.0,-37.73935,145.01516999999996
ID161649164,77 Highfield Rd,5,h,3550000.0,18/03/2017,4.0,4.0,684.0,6.0,-37.832,145.0853
ID574447673,56 Hall St,2,h,890000.0,8/04/2017,1.0,0.0,165.0,79.0,-37.8415,144.884
ID857527692,25 Sydney St,4,h,816000.0,10/09/2016,1.0,2.0,837.0,89.0,-37.7825,144.8221
ID115945460,4 Walter St,3,h,1045000.0,29/04/2017,2.0,3.0,526.0,29.0,-37.855,144.8742
ID230049769,5 Pitt St,2,h,1440000.0,27/06/2016,1.0,1.0,687.0,79.0,-37.872,145.0692
ID399458654,4 Ella Ct,4,h,1300000.0,8/04/2017,2.0,2.0,872.0,49.0,-37.7906,145.1138
ID962811109,162 Anderson Rd,3,h,550000.0,24/09/2016,1.0,1.0,583.0,59.0,-37.6949,144.9619
ID351799925,59 Summit Rd,3,h,740000.0,27/05/2017,1.0,1.0,650.0,18.0,-38.15882,145.12913999999995
ID659690674,88 Westmoreland Rd,2,h,1190000.0,19/11/2016,1.0,6.0,968.0,69.0,-37.7698,144.8362
ID168682823,17/393 Toorak Rd,1,u,400000.0,14/05/2016,1.0,1.0,1424.0,49.0,-37.8402,145.0029
ID342690033,6 Moffatt Cr,3,h,568000.0,23/09/2017,2.0,2.0,700.0,46.0,-37.87695,144.69953
ID194018756,87 Hotham Rd,2,h,657000.0,12/11/2016,2.0,1.0,268.0,69.0,-37.7343,144.8783
ID561501596,443 Punt Rd,3,h,1475000.0,10/09/2016,2.0,2.0,324.0,139.0,-37.8278,144.9885
ID730824666,5 Rigby St,3,h,881000.0,3/06/2017,1.0,2.0,538.0,49.0,-38.07405,145.13211
ID439841683,5 Baxter St,3,h,1390000.0,15/10/2016,1.0,2.0,463.0,139.0,-37.8879,145.0134
ID302045659,47 Waterdale Rd,4,h,1410000.0,6/05/2017,2.0,1.0,449.0,74.0,-37.777,145.0414
ID342511556,4 Vincent St,3,h,665000.0,12/08/2017,1.0,2.0,693.0,24.0,-37.77538,144.76933
ID860116248,188 Cardigan Rd,5,h,872000.0,3/06/2017,2.0,2.0,1254.0,39.0,-37.790259999999996,145.33738
ID970423634,11 Arden Ct,4,h,2162000.0,3/06/2017,2.0,3.0,794.0,69.0,-37.79172,145.05863
ID355235119,27 Wellington St,3,h,915000.0,22/07/2017,1.0,2.0,447.0,109.0,-37.792,144.86856
ID404996036,21D Yuille St,5,h,710000.0,26/08/2017,2.0,2.0,1670.0,19.0,-37.678129999999996,144.59292
ID980003556,44 The Parade,4,h,1850000.0,4/03/2017,3.0,1.0,478.0,119.0,-37.7729,144.9179
ID643534129,322 Young St,2,t,1050000.0,20/05/2017,1.0,1.0,87.0,19.0,-37.7959,144.9802
ID842749443,2/34 Linacre Rd,2,u,665000.0,20/05/2017,1.0,1.0,136.0,49.0,-37.9427,145.0052
ID792247648,28 Cranbrook St,3,h,826000.0,9/09/2017,2.0,2.0,492.0,2.0,-37.82413,144.87513
ID336425959,2/65 Bayswater Rd,2,u,420000.0,4/06/2016,1.0,1.0,0.0,49.0,-37.794000000000004,144.923
ID125256294,2/7 Oak St,3,u,660000.0,3/06/2017,1.0,1.0,234.0,24.0,-37.73506,145.03169
ID333695330,26 Innellan Rd,3,h,1220000.0,28/05/2016,1.0,2.0,735.0,59.0,-37.8943,145.0689
ID187723624,11 Foote St,4,h,4250000.0,4/03/2017,3.0,2.0,750.0,44.0,-37.8966,144.993
ID319378437,20 Wills St,3,h,1452000.0,6/05/2017,2.0,2.0,269.0,22.0,-37.854,145.0542
ID482468886,2/35 Boisdale St,2,u,825000.0,13/05/2017,1.0,2.0,180.0,49.0,-37.8351,145.10299999999995
ID707266276,15 Daylily Dr,4,h,965000.0,1/07/2017,2.0,2.0,576.0,49.0,-38.00293,145.16465
ID491891797,771 Rathdowne St,3,h,1950000.0,24/06/2017,1.0,1.0,309.0,109.0,-37.786590000000004,144.97211000000001
ID750734653,107 Moreland Rd,3,h,766000.0,8/10/2016,1.0,0.0,378.0,89.0,-37.7561,144.9716
ID466127289,40 Borva Dr,3,h,601200.0,27/06/2016,1.0,1.0,554.0,59.0,-37.7303,144.8636
ID427129734,30 Station St,3,h,1755000.0,4/02/2016,1.0,1.0,931.0,49.0,-37.854,145.1195
ID685764753,18b Marara Rd,2,h,1115000.0,22/08/2016,1.0,1.0,402.0,14.0,-37.8967,145.0313
ID371824722,69 Duke St,3,h,710000.0,29/04/2017,1.0,0.0,483.0,69.0,-37.7875,144.8456
ID260277738,30 Eastham St,2,h,875000.0,18/06/2016,1.0,0.0,106.0,11.0,-37.7823,144.9864
ID867140783,51 Home Rd,4,h,1082000.0,6/08/2016,3.0,2.0,233.0,8.0,-37.841,144.8874
ID354148057,40 Whimbrel Cr,4,h,647000.0,8/07/2017,2.0,4.0,688.0,17.0,-38.10984000000001,145.17061999999999
ID570943161,12 Ida Ct,3,h,539000.0,16/07/2016,1.0,1.0,474.0,59.0,-37.7086,144.9919
ID229330981,18/20 Florence Rd,3,u,736000.0,7/05/2016,1.0,2.0,195.0,99.0,-37.8287,145.1022
ID823272476,1/13 Mansfield St,2,u,525500.0,11/02/2017,1.0,1.0,724.0,44.0,-37.7564,145.0026
ID315546655,33 Baxter Av,3,h,875000.0,16/09/2017,1.0,3.0,534.0,49.0,-38.046659999999996,145.12354
ID349347649,26 Thomas St,3,h,1346000.0,10/12/2016,1.0,0.0,187.0,104.0,-37.8169,144.996
ID524042145,8/74 Marshall St,2,u,440000.0,4/03/2017,1.0,0.0,0.0,59.0,-37.7711,145.047
ID237370421,38B Livingstone St,4,h,895000.0,3/12/2016,2.0,2.0,661.0,49.0,-37.7246,144.9828
ID902812335,36 Kenny St,3,h,2251000.0,3/12/2016,1.0,2.0,888.0,69.0,-37.8002,145.0949
ID958698156,3/47 Southern Rd,2,h,510000.0,27/11/2016,1.0,1.0,174.0,59.0,-37.7433,145.0545
ID565469413,4 Waterdale Rd,4,h,2595000.0,28/05/2016,3.0,3.0,719.0,12.0,-37.7815,145.0403
ID810684637,5/113 Cecil St,1,u,597000.0,18/06/2016,1.0,1.0,0.0,19.0,-37.7941,144.9802
ID945223491,33 Whitby St,2,h,1005000.0,17/09/2016,1.0,1.0,284.0,93.0,-37.7646,144.9476
ID170492688,3/37 Highview Dr,3,u,910000.0,7/11/2016,2.0,2.0,299.0,18.0,-37.7929,145.1338
ID208390301,42 Warburton Rd,3,h,2200000.0,7/05/2016,3.0,2.0,468.0,129.0,-37.8264,145.0741
ID583664227,7 Coane St,4,h,1350000.0,19/11/2016,2.0,2.0,646.0,24.0,-37.7256,144.9383
ID411909564,11/39 Horne St,3,t,820000.0,12/11/2016,2.0,2.0,108.0,17.0,-37.8858,145.0012
ID919107941,19 Papworth Pl,3,h,510000.0,29/07/2017,1.0,1.0,670.0,59.0,-37.65168,144.91868
ID594242481,7/4 Small St,1,u,580000.0,8/07/2017,2.0,1.0,486.0,7.0,-37.93953,145.00096000000005
ID999033023,7 Cowley Ct,3,h,581000.0,17/06/2017,1.0,2.0,484.0,49.0,-37.78454,145.33073000000005
ID942564212,8/128 Park St,1,u,296000.0,6/05/2017,1.0,1.0,0.0,99.0,-37.7605,144.9071
ID769272854,5/19 Waratah St,3,u,597000.0,27/05/2017,1.0,1.0,126.0,24.0,-37.80962,144.86876999999996
ID569947888,10 Cecelia Dr,3,h,806000.0,27/05/2017,2.0,4.0,546.0,54.0,-37.747609999999995,144.8521
ID225004516,14 Emily St,3,h,1646000.0,11/03/2017,2.0,2.0,721.0,49.0,-37.8909,145.0648
ID827515466,1/28 Milton St,2,h,765000.0,4/03/2017,1.0,1.0,543.0,99.0,-37.8295,145.0774
ID291836117,4/83 Grange Rd,3,t,1550000.0,15/10/2016,2.0,2.0,117.0,19.0,-37.8343,145.0112
ID117628233,9 Hartington St,3,h,1051000.0,23/09/2017,2.0,2.0,913.0,69.0,-37.700720000000004,144.91662
ID178916688,4 Colston Cl,4,h,1250000.0,10/12/2016,2.0,2.0,780.0,49.0,-37.7955,145.139
ID381057022,34 Durham St,3,h,1601000.0,26/07/2016,1.0,1.0,872.0,59.0,-37.7618,145.0649
ID877782800,484 Waterdale Rd,3,h,915000.0,25/02/2017,1.0,1.0,748.0,69.0,-37.7416,145.0481
ID789120347,17 Weybridge St,3,h,2300000.0,27/06/2016,2.0,1.0,735.0,99.0,-37.8182,145.096
ID119038293,47 Hurtle St,2,h,940000.0,7/05/2016,1.0,1.0,330.0,115.0,-37.773,144.9049
ID186647855,1 Frogmore Rd,3,h,1600000.0,7/05/2016,2.0,2.0,751.0,96.0,-37.8945,145.0648
ID291234322,53 Hawthorn St,2,h,903000.0,15/10/2016,1.0,1.0,253.0,109.0,-37.7484,144.9521
ID788896725,4/61 Mayston St,1,u,560000.0,12/08/2017,1.0,1.0,803.0,59.0,-37.82689,145.05542
ID960506425,14 Thomson St,3,h,595000.0,15/10/2016,1.0,1.0,36.0,49.0,-37.7851,144.8434
ID115945460,4 Walter St,3,h,1045000.0,29/04/2017,2.0,3.0,526.0,29.0,-37.855,144.8742
ID269444370,10/68 Woornack Rd,1,u,260000.0,7/05/2016,1.0,1.0,0.0,51.0,-37.8983,145.0627
ID454355132,7 Batman St,3,h,1100000.0,27/05/2017,1.0,0.0,390.0,119.0,-37.79977,144.88887
ID861031846,36 Banool Rd,4,h,2440000.0,3/09/2016,3.0,2.0,596.0,89.0,-37.8154,145.0927
ID203016833,10/8 Anzac St,1,u,270000.0,30/07/2016,1.0,1.0,0.0,51.0,-37.885999999999996,145.0659
ID720849701,53 Moonya Rd,4,h,1423000.0,19/11/2016,3.0,4.0,838.0,54.0,-37.8972,145.0617
ID270092163,9 Gresford St,3,h,630000.0,10/12/2016,1.0,4.0,625.0,29.0,-37.7695,144.8347
ID679768667,1/3 Greig Ct,2,u,635000.0,22/07/2017,1.0,1.0,371.0,10.0,-37.87872,144.98893999999999
ID862047406,29 Hampden St,3,h,680000.0,27/11/2016,1.0,1.0,565.0,14.0,-37.7885,144.859
ID343217946,106 Outlook Dr,3,h,600000.0,22/05/2016,1.0,4.0,541.0,51.0,-37.7051,144.9069
ID397604887,2/42 Wattle Dr,3,h,677500.0,8/04/2017,1.0,2.0,245.0,49.0,-37.716,145.0769
ID694080795,53 River St,4,h,1260000.0,7/05/2016,1.0,3.0,757.0,59.0,-37.8411,144.889
ID195369828,3/44 Walsh St,3,u,2400000.0,3/06/2017,2.0,1.0,0.0,79.0,-37.8369,144.98514
ID375367171,2/37 Bonanza Rd,3,t,900000.0,29/07/2017,2.0,2.0,243.0,49.0,-37.98214,145.05175
ID204194077,3/50 Denbigh Rd,2,u,546000.0,30/07/2016,0.0,0.0,0.0,6.0,-37.8568,145.0161
ID495323162,5 Crew St,3,h,710000.0,19/11/2016,1.0,1.0,616.0,59.0,-37.7306,145.0854
ID687713480,56 Hillsyde Pde,3,h,1025000.0,7/05/2016,2.0,1.0,654.0,69.0,-37.7369,144.9251
ID953779503,2/5 Camperdown St,2,u,905000.0,15/10/2016,1.0,2.0,189.0,39.0,-37.9172,145.0072
ID384883905,6 Brooks St,3,h,700000.0,12/08/2017,1.0,4.0,658.0,79.0,-37.70711,144.97318
ID438198232,54 Dunstan Av,2,h,1110000.0,22/07/2017,1.0,0.0,196.0,97.0,-37.75815,144.97366
ID281340419,133 Yarra St,2,h,1190000.0,22/07/2017,2.0,1.0,147.0,19.0,-37.80269000000001,145.0001
ID951069460,9 Stewart St,3,h,820000.0,4/06/2016,1.0,1.0,274.0,94.0,-37.8968,145.075
ID382589890,6 Hayden Cr,3,h,613000.0,29/07/2017,1.0,2.0,465.0,39.0,-37.78141,144.82461999999995
ID259191492,5 Aroona Ct,3,h,1680000.0,22/07/2017,2.0,2.0,673.0,54.0,-37.76316,144.89799
ID688244621,24 Brooke St,2,h,2850000.0,18/03/2017,1.0,1.0,1777.0,89.0,-37.7676,145.0597
ID528426862,3/8 Mountain Gr,2,h,890000.0,10/12/2016,1.0,1.0,0.0,49.0,-37.8128,145.0588
ID240831619,129 Banksia St,3,h,1300000.0,8/07/2017,1.0,2.0,615.0,69.0,-37.75825,145.05438
ID397445376,3/14 Charles St,2,u,540000.0,15/07/2017,1.0,1.0,0.0,59.0,-37.85145,145.09107
ID325217196,1/54 Pender St,1,u,415000.0,8/07/2017,1.0,1.0,0.0,49.0,-37.75443,145.00919
ID798251137,20a Park Rd,3,h,1100000.0,14/05/2016,1.0,1.0,111.0,18.0,-37.8525,145.0071
ID763096489,4/95 Wilson St,2,u,760000.0,25/02/2017,1.0,2.0,0.0,19.0,-37.914,145.003
ID876181156,18 Grimwade Ct,3,h,528000.0,27/05/2017,2.0,1.0,525.0,6.0,-37.6507,145.04681000000005
ID126550517,33 Hannan St,4,h,2230000.0,10/09/2016,2.0,2.0,782.0,119.0,-37.8647,144.8867
ID358451107,7 Cartwright St,4,h,1350000.0,4/03/2017,2.0,2.0,590.0,64.0,-37.7151,144.9194
ID879377471,10 Hastings St,3,h,1460000.0,17/09/2016,1.0,2.0,742.0,69.0,-37.8529,145.0962
ID914650224,25 Morawa Dr,3,h,862000.0,22/07/2017,2.0,2.0,246.0,17.0,-37.928290000000004,145.19647
ID699933789,6 Brady St,3,h,1275000.0,18/03/2017,2.0,1.0,132.0,119.0,-37.821999999999996,145.0041
ID287686021,7/200 Albion St,2,u,585000.0,20/05/2017,1.0,1.0,430.0,13.0,-37.7609,144.9623
ID615738731,57 View St,3,h,596000.0,12/11/2016,1.0,3.0,624.0,49.0,-37.6967,144.9313
ID262816914,10/20 Cromwell Rd,1,u,410000.0,12/08/2017,1.0,1.0,0.0,59.0,-37.8446,145.00018
ID133647352,1/132 Pascoe Vale Rd,4,t,726000.0,22/05/2016,2.0,1.0,67.0,19.0,-37.760999999999996,144.9262
ID239238632,24 Garnsworthy St,3,h,752500.0,1/07/2017,1.0,2.0,623.0,69.0,-37.94106,145.16193
ID587887561,2/4 Collins St,3,u,775000.0,17/09/2016,1.0,1.0,211.0,39.0,-37.8275,145.1232
ID864653090,73 Belford Rd,3,h,1750000.0,4/03/2017,1.0,3.0,650.0,49.0,-37.7955,145.0473
ID415302566,409/216 Rouse St,2,u,665000.0,3/06/2017,2.0,1.0,1472.0,9.0,-37.840959999999995,144.93791000000004
ID513461093,11 Findon St,2,h,1036000.0,3/12/2016,1.0,1.0,310.0,109.0,-37.8717,145.0399
ID442733007,31 The Crescent,4,t,1200000.0,29/07/2017,2.0,2.0,304.0,12.0,-37.946329999999996,145.04946999999999
ID344871903,301/228 The Avenue,3,u,1560000.0,27/05/2017,2.0,1.0,2431.0,69.0,-37.78212,144.95755
ID672965391,10 Barilla Rd,3,t,935000.0,15/07/2017,2.0,2.0,280.0,34.0,-37.941109999999995,145.0431
ID676735768,12 Pacific Dr,4,h,840000.0,22/07/2017,2.0,2.0,383.0,59.0,-38.01958,145.12356
ID636068386,63 Thompsons Rd,4,h,1250000.0,18/03/2017,2.0,2.0,732.0,34.0,-37.7771,145.0855
ID181669736,1/33 Holyrood St,3,h,1460000.0,15/10/2016,2.0,2.0,413.0,49.0,-37.933,144.9975
ID708252103,9/723 Orrong Rd,2,u,655000.0,8/04/2017,1.0,1.0,1816.0,59.0,-37.8389,145.0141
ID172247824,38 Clarks Rd,4,h,847000.0,28/05/2016,3.0,2.0,579.0,39.0,-37.7368,144.8689
ID730503090,9 Beckley St,3,h,1370000.0,28/05/2016,1.0,1.0,563.0,89.0,-37.7493,144.97799999999995
ID526121537,22/3 Alfred Sq,1,u,520000.0,8/04/2017,1.0,1.0,2422.0,49.0,-37.8644,144.9741
ID736895250,76 Plymouth Rd,3,h,702500.0,12/08/2017,1.0,1.0,864.0,12.0,-37.78264,145.26447
ID706664109,7 Whitty St,2,h,555000.0,18/06/2016,1.0,1.0,254.0,49.0,-37.7881,144.8354
ID188701962,2/30 Caroline St,3,t,935000.0,10/09/2016,2.0,2.0,217.0,14.0,-37.7591,144.8923
ID823950678,31 Wordsworth St,4,h,1345000.0,18/06/2016,2.0,2.0,313.0,109.0,-37.7709,144.9288
ID610730297,7/32 Gardenia Rd,2,u,440000.0,18/06/2016,1.0,1.0,0.0,49.0,-37.8971,145.0093
ID119036675,16/60 Farnham St,2,u,450000.0,13/05/2017,1.0,1.0,0.0,49.0,-37.7826,144.9311
ID685261281,116 Cornwall Rd,3,h,620000.0,7/11/2016,1.0,1.0,376.0,10.0,-37.7831,144.842
ID212230587,16 Muriel Ct,3,h,825000.0,1/07/2017,2.0,5.0,537.0,59.0,-37.70047,145.02881000000005
ID305188765,1/6 Jepson St,3,t,1070000.0,13/05/2017,2.0,2.0,257.0,7.0,-37.813,144.8703
ID663825978,8 Kinkora Rd,4,h,2010000.0,24/06/2017,3.0,3.0,451.0,49.0,-37.81633,145.02833
ID947270067,33 Dalgety Dr,3,h,960000.0,10/12/2016,2.0,2.0,229.0,8.0,-37.7778,144.9065
ID684556206,1472 Dandenong Rd,2,h,750000.0,22/05/2016,2.0,2.0,607.0,69.0,-37.8964,145.0977
ID636637997,11 Sandpiper Pl,4,h,2440000.0,27/11/2016,3.0,3.0,500.0,14.0,-37.8638,144.8798
ID138981871,27 McMahons Rd,3,h,864000.0,4/06/2016,1.0,2.0,565.0,69.0,-37.7283,144.969
ID225493792,5/11 Albion St,2,u,497500.0,28/08/2016,0.0,0.0,0.0,91.0,-37.8739,144.9929
ID321553705,12A Almond St,2,h,997000.0,29/04/2017,1.0,2.0,311.0,94.0,-37.8895,145.0229
ID137628964,7 Kampman St,4,h,1300000.0,18/03/2017,2.0,2.0,744.0,34.0,-37.7791,145.086
ID961172746,188 Rachelle Rd,3,h,835000.0,8/04/2017,2.0,2.0,700.0,39.0,-37.7322,144.8722
ID742516239,11 Kerferd St,3,h,1610000.0,18/06/2016,1.0,2.0,569.0,69.0,-37.9419,145.01
ID359412955,2/57 Kingsville St,1,u,210000.0,18/03/2017,1.0,1.0,0.0,49.0,-37.81,144.8786
ID891430095,8 Dudley Pde,5,h,2350000.0,15/10/2016,2.0,4.0,838.0,109.0,-37.8252,145.0721
ID599856298,11/22 Brenbeal St,2,t,760000.0,10/12/2016,1.0,1.0,121.0,59.0,-37.8112,145.0881
ID351270019,182 Separation St,3,h,1050000.0,15/07/2017,1.0,2.0,530.0,79.0,-37.77062,145.00891000000001
ID831011771,3 Palermo St,3,h,2285000.0,15/10/2016,2.0,2.0,221.0,129.0,-37.8416,144.9959
ID620815122,509/33 MacKenzie St,2,u,390000.0,30/07/2016,1.0,1.0,1751.0,7.0,-37.8077,144.9668
ID425044005,27 Summerhill Rd,2,h,800000.0,9/09/2017,1.0,2.0,353.0,89.0,-37.79047,144.88289
ID623945175,159 Graham Rd,3,h,870000.0,22/08/2016,1.0,2.0,698.0,59.0,-37.7343,145.0837
ID205742758,9/12 Pascoe St,2,h,386000.0,7/05/2016,1.0,1.0,111.0,32.0,-37.7152,144.9349
ID659567182,4/24 Highbury Gr,2,u,525000.0,14/05/2016,1.0,1.0,0.0,49.0,-37.8054,145.0373
ID957440220,165 Osborne St,4,h,1630000.0,29/04/2017,2.0,2.0,260.0,13.0,-37.8657,144.8942
ID587767858,44 Bent St,3,h,1232000.0,3/06/2017,1.0,1.0,352.0,119.0,-37.76708,144.99624
ID769687719,3 Diosma Ct,3,h,1155000.0,3/09/2017,2.0,2.0,2405.0,39.0,-38.16457,145.12421
ID730138573,3 Walkers Rd,4,h,845000.0,3/06/2017,2.0,2.0,633.0,89.0,-38.0781,145.12429
ID505075325,20 Glenora Av,2,h,1150000.0,29/07/2017,1.0,2.0,1800.0,29.0,-37.79578,145.27461
ID772262597,167 Richardson St,3,h,1280000.0,22/08/2016,1.0,1.0,131.0,119.0,-37.7846,144.9704
ID201823200,58 London St,4,t,1155000.0,10/09/2016,3.0,2.0,271.0,9.0,-37.9252,145.0494
ID232484430,3A Blanche St,3,t,1308000.0,8/04/2017,1.0,2.0,125.0,29.0,-37.7953,144.9864
ID628577893,203 Munro St,4,h,1400000.0,18/06/2016,1.0,1.0,856.0,49.0,-37.7432,144.9481
ID386550460,1/373 South Rd,3,u,725000.0,8/04/2017,1.0,1.0,137.0,14.0,-37.9319,145.0282
ID784350665,349 Waverley Rd,5,h,1810000.0,10/09/2016,3.0,2.0,751.0,85.0,-37.8775,145.0622
ID228207414,4/69 Wattle Valley Rd,2,u,913000.0,8/04/2017,1.0,1.0,0.0,99.0,-37.8322,145.0816
ID347781337,89 Thames St,4,h,2770000.0,12/11/2016,1.0,2.0,715.0,69.0,-37.8135,145.1218
ID776878887,141 Summerhill Rd,3,h,750000.0,26/08/2017,1.0,2.0,232.0,99.0,-37.797,144.88173
ID300707640,3/7 Lilian St,3,t,1235000.0,27/05/2017,3.0,2.0,338.0,119.0,-37.827040000000004,145.16801
ID324447758,26 Milton St,3,h,932500.0,28/05/2016,2.0,1.0,254.0,119.0,-37.7738,144.9215
